Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
AMBC1|ALPINE MEADOWS-BASE|39.16280|-120.23860|2131 meters|snowdepth|2015-02-19 06|731.520|cm|96145|
GINC1|GIN FLAT|37.77000|-119.77000|2173 meters|snowdepth|2015-02-19 06|615.188|cm|00040|
SLMC1|ELSTANISLAUS MEADOW (GOES)|38.50000|-119.93690|2359 meters|snowdepth|2015-02-19 06|587.502|cm|00044|
LELC2|LAKE ELDORA|39.93680|-105.58960|2965 meters|snowdepth|2015-02-19 06|581.660|cm|80466|
RRMC1|RED ROCK MOUNTAIN|41.02300|-122.88500|1967 meters|snowdepth|2015-02-19 06|568.452|cm|96052|
BLCC1|BLOODS CREEK|38.45000|-120.03500|2198 meters|snowdepth|2015-02-19 06|508.762|cm|00044|
SVPI1|SAVAGE PASS|46.46630|-114.63330|1891 meters|snowdepth|2015-02-19 06|497.840|cm|83525|
WNDW4|WINDY PEAK|42.28020|-105.57820|2411 meters|snowdepth|2015-02-19 06|490.220|cm|82058|
CEDQ2|CEDAR-KITEEN|55.15200|-128.71000|914 meters|snowdepth|2015-02-19 06|489.001|cm||
SNWC1|SNOW MOUNTAIN|40.77810|-121.78190|1819 meters|snowdepth|2015-02-18 22|479.552|cm|96069|
LLSC1|LAKE LOIS|38.92500|-120.19690|2522 meters|snowdepth|2015-02-19 06|478.028|cm|00051|
APSC2|APISHAPA|37.33060|-105.06750|3060 meters|snowdepth|2015-02-19 06|457.200|cm|81055|
DDMC1|DEADMAN CK NEAR KENNEDY MEADOWS - SONORA PASS|38.33190|-119.65310|2843 meters|snowdepth|2015-02-19 06|444.500|cm|95335|
IDRC2|IDARADO|37.93390|-107.67550|3002 meters|snowdepth|2015-02-19 06|439.420|cm|81427|
UPTC2|UPPER TAYLOR|38.99070|-106.75420|3355 meters|snowdepth|2015-02-19 06|424.180|cm|81210|
CHMC1|CHILKOOT MEADOW|37.40810|-119.49000|2228 meters|snowdepth|2015-02-19 06|397.510|cm|93643|
CISCO_MADIS|CISCO BUTTE|39.30611|-120.56280|1956 meters|snowdepth|2015-02-19 05|393.700|cm|95724|
KCKA2|KACHEMAK CREEK|59.77530|-150.83420|481 meters|snowdepth|2015-02-19 06|350.520|cm|99603|
SNEA2|SNETTISHAM POWER STATION|58.14200|-133.72700|18 meters|snowdepth|2015-02-19 06|320.400|cm|99801|
SMPW1|STAMPEDE PASS|47.27450|-121.34160|1187 meters|snowdepth|2015-02-19 06|307.340|cm|98022|
REDQ2|REDFISH CREEK|49.69027|-117.08638|2085 meters|snowdepth|2015-02-19 06|297.993|cm||
ATGA2|ATIGUN PASS|68.12980|-149.47820|1448 meters|snowdepth|2015-02-19 06|259.080|cm|00007|
DPPC1|DEVILS POST PILE RAWS|37.63000|-119.09330|2457 meters|snowdepth|2015-02-18 13|258.572|cm|00020|
LYLW1|LYMAN LAKE|48.19070|-120.91900|1986 meters|snowdepth|2015-02-19 06|251.460|cm|98852|
HMKW4|HAMS FORK SNOTEL|42.14600|-110.67830|2407 meters|snowdepth|2015-02-19 06|251.460|cm|83114|
MTCQ2|MT COOK|52.18277|-119.32138|1565 meters|snowdepth|2015-02-19 06|229.006|cm||
LLPC1|LOWER LASSEN PEAK SNOW COURSE|40.46810|-121.50690|2514 meters|snowdepth|2015-02-19 06|228.346|cm|96071|
MSPM8|MOSS PEAK|47.68490|-113.96230|2061 meters|snowdepth|2015-02-19 06|226.060|cm|59860|
AZUQ2|AZURE RIVER|52.59600|-119.72400|1625 meters|snowdepth|2015-02-19 06|224.993|cm||
NOIM8|NOISY BASIN|48.15670|-113.94620|1859 meters|snowdepth|2015-02-19 05|223.520|cm|59901|
TSAQ2|TSAI CREEK|54.64600|-127.67500|1366 meters|snowdepth|2015-02-19 06|223.012|cm||
GTHW4|GRAND TARGHEE SNOTEL|43.77930|-110.92780|2825 meters|snowdepth|2015-02-19 06|220.980|cm|83012|
FTMM8|FLATTOP MTN.|48.80240|-113.85720|1915 meters|snowdepth|2015-02-19 05|220.980|cm|59916|
NFJM8|NORTH FORK JOCKO|47.27260|-113.75620|1864 meters|snowdepth|2015-02-19 06|218.440|cm|59868|
JHRV_MADIS|JACKSON HOLE-RENDEZVOUS BOWL|43.59086|-110.87260|2927 meters|snowdepth|2015-02-19 06|218.440|cm|83014|
JHR|JACKSON HOLE-RAYMER|43.60000|-110.85000|2617 meters|snowdepth|2015-02-19 06|213.360|cm|83014|
BRTW1|BROWN TOP|48.92750|-121.19710|1781 meters|snowdepth|2015-02-19 06|210.820|cm|00072|
CRAI1|CRATER MEADOWS|46.56310|-115.28830|1814 meters|snowdepth|2015-02-19 06|208.280|cm|83544|
BFLA2|BETTLES FIELD|66.92000|-151.53000|191 meters|snowdepth|2015-02-19 06|208.280|cm|99726|
RVCQ2|REVOLUTION CREEK SNOW PILLOW|53.78330|-120.36670|1693 meters|snowdepth|2015-02-19 06|208.001|cm||
SUN64_MADIS|SUNRISE-MT. RAINIER|46.91530|-121.64220|1950 meters|snowdepth|2015-02-18 22|205.740|cm|98321|
FSHM8|FISHER CREEK|45.06230|-109.94490|2784 meters|snowdepth|2015-02-19 06|205.740|cm|59030|
